"ID","Title","Created By","Created On","Estimate","Expected Result","Priority","Section","Steps (Expected Result)","Steps (Step)","Suite","Suite ID","Type"
"C11","Тестирование текстового поля ""Регион проживания""","Ирина Курбанова","9/9/2022 8:04 AM","","","Medium","Положительное и отрицательное тестирование","Система реагирует на некорректно введенные данные, рамка вокруг поля становится красной, и появляется текст "Выберите регион из списка"","Ввести в поле "Регион проживания" значение High ","Master","S1","Functional"
"","","","","","","","","Система реагирует на некорректно введенные данные, рамка вокруг поля становится красной, и появляется текст "Выберите регион из списка"","Ввести в поле "Регион проживания" значение 12345","","",""
"","","","","","","","","Во время внесения данных рамка вокруг поля- зеленая.","Ввести в поле "Регион проживания" значение Адыг, выбрать из выпадающего списка "Адыгея Респ"","","",""
"C12","Тестирование Календаря ""Дата начала""","Ирина Курбанова","9/9/2022 8:25 AM","","","Medium","Положительное и отрицательное тестирование","Система реагирует на некорректно введенные данные и подсвечивает рамку красным цветом ","Ввести в поле "Дата начала" значение 01.01.1011, вручную, не использую иконку календарь ","Master","S1","Functional"
"","","","","","","","","Система реагирует корректно.","Ввести в поле "Дата начала" значение 21.05.2896, вручную, не используя календарь ","","",""
"","","","","","","","","В поле есть иконка  календаря, при нажатии открывается календарь (текущая дата+14 дней). Так же дату можно ввести вручную. Во время внесения данных рамка вокруг поля- зеленая.","Ввести дату 23.09.2022 ","","",""
"C14","Тестирование поля ""Фамилия""","Ирина Курбанова","9/9/2022 8:39 AM","","","Medium","Положительное и отрицательное тестирование","Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной, и появляется надпись "Недопустимый символ"","Ввести в поле "Фамилия" значение 1259","Master","S1","Functional"
"","","","","","","","","Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной, и появляется надпись "Недопустимый символ"","Ввести в поле "Фамилия" значение LII","","",""
"","","","","","","","","Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной, и появляется надпись "Недопустимый символ"","Ввести в поле "Фамилия" значение !@&amp;*","","",""
"","","","","","","","","Во время внесения данных рамка вокруг поля- зеленая.","Ввести в поле "Фамилия" значение "Курбанова"","","",""
"C15","Тестирование поля ""Имя""","Ирина Курбанова","9/9/2022 8:42 AM","","","Medium","Положительное и отрицательное тестирование","	
Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной, и появляется надпись "Недопустимый символ"","Ввести в поле "Имя" значение 78962","Master","S1","Functional"
"","","","","","","","","	
Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной, и появляется надпись "Недопустимый символ"","Ввести в поле "Имя" значение Irena","","",""
"","","","","","","","","	
Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной, и появляется надпись "Недопустимый символ"","Ввести в поле "Имя" значение Ирина-Luiza","","",""
"","","","","","","","","	
Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной, и появляется надпись "Недопустимый символ"","Ввести в поле "Имя" значение /*-+","","",""
"","","","","","","","","	
Во время внесения данных рамка вокруг поля- зеленая","Ввести в поле "Имя" значение Ирина","","",""
"C16","Тестирование поля ""Отчество""","Ирина Курбанова","9/9/2022 8:48 AM","","","Medium","Положительное и отрицательное тестирование","Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной, и появляется надпись "Недопустимый символ"","Ввести в поле "Отчество" значение 991","Master","S1","Functional"
"","","","","","","","","Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной, и появляется надпись "Недопустимый символ"","Ввести в поле "Отчество" значение +-/*","","",""
"","","","","","","","","Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной, и появляется надпись "Недопустимый символ"","Ввести в поле "Отчество" значение uijs","","",""
"","","","","","","","","	
Во время внесения данных рамка вокруг поля- зеленая","Ввести в поле "Отчество" значение Игоревна","","",""
"","","","","","","","","	
Во время внесения данных рамка вокруг поля- зеленая","Ввести в поле "Отчество" значение Игорь кызы","","",""
"","","","","","","","","	
Во время внесения данных рамка вокруг поля- зеленая","Ввести в поле "Отчество" значение Игорь-улы","","",""
"","","","","","","","","Система реагирует корректно","В чек боксе "Отчество отсутствует"  проставить значение true","","",""
"C17","Тестирование поля ""Телефон""","Ирина Курбанова","9/9/2022 8:53 AM","","","Medium","Положительное и отрицательное тестирование","Буквы ввести невозможно","В поле "Телефон" ввести буквы  прпорп","Master","S1","Functional"
"","","","","","","","","Символы ввести невозможно ","В поле "Телефон" ввести символы +-/*-+","","",""
"","","","","","","","","Во время внесения данных рамка вокруг поля- зеленая","В поле "Телефон" ввести +7(111)111-11-11","","",""
"C18","Тестирование поля ""Электронная почта""","Ирина Курбанова","9/9/2022 8:56 AM","","","Medium","Положительное и отрицательное тестирование","	
Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной","В поле "Электронная почта" ввести значение 123@mailru ","Master","S1","Functional"
"","","","","","","","","Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной","В поле "Электронная почта" ввести значение лопата@mail.ru ","","",""
"","","","","","","","","Система реагирует на некорректно введенные данные, рамка вокруг поля стала красной","В поле "Электронная почта" ввести значение +-/*@mail.ru","","",""
"","","","","","","","","	
Во время внесения данных рамка вокруг поля- зеленая","В поле "Электронная почта" ввести значение irina2010@mail.ru ","","",""
"C20","Авторизация через СберID","Ирина Курбанова","9/9/2022 9:08 AM","","","Medium","Интеграционное тестирование","Страница обновилась и отправила на сайт http://online.sberbank.ru/ страница "Авторизация- СберID"","Нажать кнопку "Заполнить по СберID"","Master","S1","Functional"
"","","","","","","","","Появился QR-код","Нажать на кнопку "Использовать QR- код"

","","",""
"","","","","","","","","QR-код отсканирован, мобильное приложение Сбербанк запрашивает доступ","Отсканировать QR-код с помощью мобильного приложения Сбербанка","","",""
"","","","","","","","","Страница загружается, появилась надпись "Идет авторизация"","Нажать в мобильном приложении Сбербанка "Разрешить"","","",""
"","","","","","","","","Данные корректны.","После загрузки страницы проверить все данные во вкладке ""2. оформление","","",""
